,precision,recall,f1-score,support
nowildfire,0.970856102003643,0.9797794117647058,0.9752973467520586,2176.0
wildfire,0.9544041450777202,0.9350253807106599,0.9446153846153846,985.0
accuracy,0.9658335969629864,0.9658335969629864,0.9658335969629864,0.9658335969629864
macro avg,0.9626301235406816,0.9574023962376829,0.9599563656837216,3161.0
weighted avg,0.9657295035942682,0.9658335969629864,0.9657365328625857,3161.0
